jednostka;przedzial;sredniBlad;maxBlad;minBlad;wariancja;liczbaProbek
s;(0, 5];729907.5782;1614649258.6466;0.0000;1178080277817599.2500;6637
s;(5, 10];34.8703;59.3985;0.0000;130.2168;98
s;(10, 15];33.5156;47.3684;0.0000;89.1829;66
s;(15, 20];28.3952;44.3609;12.7820;59.6325;64
s;(20, 25];27.4921;44.3609;0.0000;72.1134;62
s;(25, 30];28.1133;42.1053;0.0000;78.3667;64
s;(30, 35];26.3510;39.8496;0.0000;82.8859;64
s;(35, 40];24.3304;39.8496;0.0000;101.2802;64
s;(40, 45];27.5006;40.6015;12.7820;38.4256;66
s;(45, 50];23.9631;39.8496;0.0000;85.5488;62
s;(50, 55];23.4258;38.3459;0.0000;52.9648;64
s;(55, 60];22.6034;36.0902;0.0000;68.3390;64
ms;(0, 50];3373354.3547;1614649258.6466;45.1128;5438979578551624.0000;1436
ms;(50, 100];80.9882;104.5113;45.1128;246.5778;56
ms;(100, 150];75.1253;99.2481;44.3609;158.1272;72
ms;(150, 200];71.5957;96.9925;36.8421;206.0461;81
ms;(200, 250];70.2055;90.9774;23.3083;170.6783;75
ms;(250, 300];65.0718;85.7143;50.3759;138.9975;11
ms;(300, 350];64.4110;70.6767;58.6466;14.5571;9
ms;(350, 400];66.2096;87.9699;38.3459;135.6190;51
ms;(400, 450];63.6412;82.7068;39.0977;104.0973;42
ms;(450, 500];60.2497;79.6992;28.5714;153.0512;53
ms;(500, 550];61.7155;80.4511;33.0827;116.2643;49
ms;(550, 600];59.4906;82.7068;27.8195;174.4642;49
ms;(600, 650];56.4922;80.4511;27.0677;152.7265;52
ms;(650, 700];56.1404;79.6992;30.8271;138.7001;51
ms;(700, 750];56.2836;77.4436;25.5639;117.2574;49
ms;(750, 800];56.3615;79.6992;12.7820;214.3696;51
ms;(800, 850];55.5010;74.4361;22.5564;135.1987;49
ms;(850, 900];56.0011;81.9549;20.3008;183.7351;54
ms;(900, 950];54.8072;75.9398;28.5714;152.5447;47
ms;(950, 1000];54.0526;77.4436;23.3083;127.1425;200
us;(0, 50];134554300.5013;1614649258.6466;154.8872;217257628277091040.0000;12
us;(50, 100];21673325.4176;1614649258.6466;99.2481;34758069153631432.0000;149
us;(100, 150];172.5134;236.8421;111.2782;576.0054;140
us;(150, 200];162.0718;208.2707;121.8045;647.0104;18
us;(200, 250];167.1429;193.9850;132.3308;442.3402;10
us;(250, 300];161.5467;190.9774;145.8647;198.5464;14
us;(300, 350];151.4286;173.6842;118.7970;356.9324;10
us;(350, 400];153.1100;175.9398;120.3008;233.7354;11
us;(400, 450];142.6901;166.1654;110.5263;408.5559;9
us;(450, 500];148.4023;163.1579;132.3308;130.1757;8
us;(500, 550];157.8321;176.6917;132.3308;141.8918;12
us;(550, 600];148.4023;159.3985;130.8271;80.1043;8
us;(600, 650];150.2506;181.2030;120.3008;375.2546;12
us;(650, 700];154.3024;174.4361;141.3534;117.5558;9
us;(700, 750];147.4368;169.9248;107.5188;377.1219;11
us;(750, 800];129.4069;149.6241;106.7669;164.9958;9
us;(800, 850];135.9746;165.4135;92.4812;422.6587;13
us;(850, 900];133.1767;159.3985;109.0226;381.9060;8
us;(900, 950];139.3233;159.3985;114.2857;219.4773;10
us;(950, 1000];132.8947;146.6165;100.7519;198.7918;8
