n,nn,rnn
5,20.52,20.14
6,19.56,20.5
7,18.76,21.32
8,19.34,22.66
9,19.74,23.32
10,19.79,25.44
11,20.21,26.27
12,19.79,28.85
13,20.36,30.47
14,20.18,33.64
15,20.43,36.61
16,20.69,40.44
17,22.21,53.58
18,21.54,47.27
19,20.85,50.65
20,21.19,55.81
21,21.99,63.19
34,37.67,198.1
36,53.25,249.8
39,49.51,350.2
43,39.86,358.1
45,50.48,475.2
48,48.09,644.3
53,55.17,848.5
56,51.57,963.7
65,53.68,1501
70,62.5,2094
71,52.82,1739
100,82.81,5993
171,176.1,2.403e+04
323,654,1.642e+05
358,537.2,2.172e+05
403,989.6,2.859e+05
443,1223,3.811e+05
