..,sredni_blad,odchyleniestd,minimum,maksimum,liczbapomiarow
0-5s,747821.5185,34741716.5466,0.0000,1614649258.6466,6478
5-10s,34.9893,11.8478,0.0000,59.3985,84
10-15s,33.2525,9.6867,0.0000,47.3684,62
15-20s,28.9098,7.6545,12.7820,44.3609,60
20-25s,27.3918,8.6477,0.0000,44.3609,58
25-30s,28.5589,8.6821,0.0000,42.1053,60
30-35s,26.3784,8.7610,0.0000,39.8496,60
35-40s,24.9248,9.2892,0.0000,39.8496,60
40-45s,27.6013,6.3499,12.7820,40.6015,62
45-50s,24.8380,8.3997,0.0000,39.8496,58
50-55s,23.7093,7.4012,0.0000,38.3459,60
55-60s,22.8522,8.4010,0.0000,36.0902,61
1-2m,22.5877,7.5884,0.0000,38.3459,601
2-3m,6.3910,9.0382,0.0000,12.7820,2
3-4m,12.7820,,12.7820,12.7820,1
4-5m,12.7820,,12.7820,12.7820,1
